Time(s),CenterMass_X(m),CenterMass_Y(m),Speed(km/h),Accel_X(m/s2),Accel_Y(m/s2),Car_Angle(deg),Steering_Angle(deg),Gear,Engine_RPM,Wheel_RPM,Traction_Force(N),Drag_Force(N),Brake_Force(N),FL_Actual_X,FL_Actual_Y,FR_Actual_X,FR_Actual_Y,RL_Actual_X,RL_Actual_Y,RR_Actual_X,RR_Actual_Y,FL_Vel_X,FL_Vel_Y,FR_Vel_X,FR_Vel_Y,RL_Vel_X,RL_Vel_Y,RR_Vel_X,RR_Vel_Y,FL_Ideal_X,FL_Ideal_Y,FR_Ideal_X,FR_Ideal_Y,RL_Ideal_X,RL_Ideal_Y,RR_Ideal_X,RR_Ideal_Y,FL_Error(m),FR_Error(m),RL_Error(m),RR_Error(m)
0.516000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.000000,0.000000,1.850000,0.900000,1.850000,-0.900000,-1.850000,0.900000,-1.850000,-0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.850000,0.900000,1.850000,-0.900000,-1.850000,0.900000,-1.850000,-0.900000,0.000000,0.000000,0.000000,0.000000
1.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.000000,0.000000,1.850000,0.900000,1.850000,-0.900000,-1.850000,0.900000,-1.850000,-0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.850000,0.900000,1.850000,-0.900000,-1.850000,0.900000,-1.850000,-0.900000,0.000000,0.000000,0.000000,0.000000
1.528000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.000000,0.000000,1.850000,0.900000,1.850000,-0.900000,-1.850000,0.900000,-1.850000,-0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.850000,0.900000,1.850000,-0.900000,-1.850000,0.900000,-1.850000,-0.900000,0.000000,0.000000,0.000000,0.000000
